Amplitude,Width,Visible time,From_left,Distance,Time
320,160,0.5,True,-5.0,0.43298792839050293
320,160,0.5,True,-61.0,0.462932825088501
320,160,0.5,True,-16.0,0.43094468116760254
320,160,0.5,True,-36.0,0.44721388816833496
320,160,0.5,True,-46.0,0.4782552719116211
320,160,0.5,True,-43.0,0.3944356441497803
320,160,0.5,True,-43.0,0.41797351837158203
1280,80,0.5,False,19.0,0.940502405166626
1280,80,0.5,False,-13.0,0.9452352523803711
1280,80,0.5,False,15.0,1.1933236122131348
1280,80,0.5,False,19.0,1.010361671447754
1280,80,0.5,False,34.0,1.018362283706665
1280,80,0.5,False,8.0,1.168191909790039
1280,80,0.5,False,-41.0,0.8147487640380859
1280,80,0.5,False,-21.0,0.8435885906219482
1280,80,0.5,False,-10.0,1.0922889709472656
1280,80,0.5,False,61.0,0.8432571887969971
1280,80,0.5,False,2.0,1.1354012489318848
1280,80,0.5,False,35.0,0.8377811908721924
160,160,0.5,True,-72.0,0.33054399490356445
160,160,0.5,True,-28.0,0.3646860122680664
160,160,0.5,True,-25.0,0.36269664764404297
160,160,0.5,True,-47.0,0.3206362724304199
160,160,0.5,True,-45.0,0.33075714111328125
160,160,0.5,True,-70.0,0.2817208766937256
160,160,0.5,True,-26.0,0.3347334861755371
160,160,0.5,True,-45.0,0.29514479637145996
160,160,0.5,True,-33.0,0.3176746368408203
160,160,0.5,True,-55.0,0.31215691566467285
1280,160,0.5,True,19.0,0.9221768379211426
1280,160,0.5,True,28.0,0.6231920719146729
1280,160,0.5,True,-71.0,0.7451763153076172
1280,160,0.5,True,-53.0,0.9290356636047363
1280,160,0.5,True,153.0,0.6925995349884033
1280,160,0.5,True,-18.0,0.8476731777191162
1280,160,0.5,True,-33.0,0.9559812545776367
1280,160,0.5,True,-47.0,0.6845395565032959
1280,160,0.5,True,-35.0,0.7296707630157471
1280,160,0.5,True,-49.0,0.6960525512695312
1280,160,0.5,True,-47.0,0.7143847942352295
320,160,0.5,False,79.0,0.41428422927856445
320,160,0.5,False,49.0,0.4649534225463867
320,160,0.5,False,30.0,0.4338104724884033
320,160,0.5,False,38.0,0.3977081775665283
320,160,0.5,False,70.0,0.48395729064941406
320,160,0.5,False,39.0,0.4467136859893799
320,160,0.5,False,70.0,0.33716249465942383
320,160,0.5,False,62.0,0.41897058486938477
320,160,0.5,False,66.0,0.3638942241668701
320,160,0.5,False,50.0,0.3995492458343506
640,160,0.5,False,44.0,0.4997401237487793
640,160,0.5,False,89.0,0.5120196342468262
640,160,0.5,False,-45.0,0.5277969837188721
640,160,0.5,False,3.0,0.530019998550415
640,160,0.5,False,23.0,0.5148448944091797
640,160,0.5,False,15.0,0.5513989925384521
640,160,0.5,False,32.0,0.4817237854003906
640,160,0.5,False,52.0,0.5548839569091797
640,160,0.5,False,61.0,0.48484039306640625
640,160,0.5,False,20.0,0.5667517185211182
640,160,0.5,False,51.0,0.4819045066833496
320,40,0.5,True,-29.0,0.49690866470336914
320,40,0.5,True,-7.0,0.4996476173400879
320,40,0.5,True,-44.0,0.48087167739868164
320,40,0.5,True,22.0,0.7991430759429932
320,40,0.5,True,3.0,0.928694486618042
320,40,0.5,True,7.0,0.9527549743652344
320,40,0.5,True,3.0,0.9121880531311035
320,40,0.5,True,-3.0,0.6607675552368164
320,40,0.5,True,-3.0,0.7163693904876709
320,40,0.5,True,-5.0,0.6216225624084473
320,40,0.5,True,-7.0,0.7835290431976318
320,40,0.5,True,12.0,0.7422177791595459
320,40,0.5,True,-4.0,0.6643097400665283
160,80,0.5,True,9.0,0.38741254806518555
160,80,0.5,True,-1.0,0.41799020767211914
160,80,0.5,True,15.0,0.4029679298400879
160,80,0.5,True,9.0,0.38213181495666504
160,80,0.5,True,-26.0,0.410203218460083
160,80,0.5,True,-18.0,0.4337584972381592
160,80,0.5,True,4.0,0.4846835136413574
160,80,0.5,True,-21.0,0.4644908905029297
160,80,0.5,True,-9.0,0.43254852294921875
160,80,0.5,True,-20.0,0.4491760730743408
640,80,0.5,False,19.0,0.6969683170318604
640,80,0.5,False,-15.0,0.6056485176086426
640,80,0.5,False,22.0,0.6568150520324707
640,80,0.5,False,29.0,0.6185863018035889
640,80,0.5,False,35.0,0.6644446849822998
640,80,0.5,False,14.0,0.6011984348297119
640,80,0.5,False,20.0,0.5924787521362305
640,80,0.5,False,56.0,0.5939736366271973
640,80,0.5,False,0.0,0.6337652206420898
640,80,0.5,False,-39.0,0.6266088485717773
640,80,0.5,False,0.0,0.8079516887664795
1280,40,0.5,True,-4.0,1.2484989166259766
1280,40,0.5,True,3.0,1.216571569442749
1280,40,0.5,True,-6.0,1.2402575016021729
1280,40,0.5,True,4.0,1.3834834098815918
1280,40,0.5,True,-13.0,0.8709867000579834
1280,40,0.5,True,3.0,1.1997084617614746
1280,40,0.5,True,14.0,1.1615405082702637
1280,40,0.5,True,16.0,0.9912374019622803
1280,40,0.5,True,5.0,0.9300029277801514
1280,40,0.5,True,-7.0,1.049391269683838
160,40,0.5,True,6.0,0.5835013389587402
160,40,0.5,True,-5.0,0.48229122161865234
160,40,0.5,True,-9.0,0.5027942657470703
160,40,0.5,True,2.0,0.4691193103790283
160,40,0.5,True,-30.0,0.38191795349121094
160,40,0.5,True,19.0,0.4954187870025635
160,40,0.5,True,3.0,0.5107903480529785
160,40,0.5,True,1.0,0.531592845916748
160,40,0.5,True,-14.0,0.5156195163726807
160,40,0.5,True,0.0,0.49811720848083496
