Amplitude,Width,Visible time,From_left,Distance,Time
640,80,0.5,True,46.0,1.0942962169647217
640,80,0.5,True,-11.0,1.8220350742340088
160,80,0.5,True,147.0,1.28220796585083
160,80,0.5,True,6.0,0.5951647758483887
160,80,0.5,True,34.0,0.6179542541503906
160,80,0.5,True,36.0,0.8609323501586914
160,80,0.5,True,-18.0,0.5662190914154053
160,80,0.5,True,23.0,0.6158044338226318
160,80,0.5,True,19.0,0.6676464080810547
160,80,0.5,True,-7.0,0.6027958393096924
160,80,0.5,True,2.0,0.6990783214569092
160,80,0.5,True,-11.0,0.62003493309021
160,80,0.5,True,7.0,0.5937447547912598
160,80,0.5,True,-11.0,0.7028999328613281
160,80,0.5,True,-5.0,0.7138972282409668
160,80,0.5,True,-2.0,0.6852068901062012
160,80,0.5,True,-7.0,0.7753422260284424
160,80,0.5,True,14.0,0.7067365646362305
160,40,0.5,True,-30.0,0.7092452049255371
160,40,0.5,True,-19.0,0.6518433094024658
160,40,0.5,True,25.0,0.7411842346191406
160,40,0.5,True,-12.0,0.6793680191040039
160,40,0.5,True,-4.0,0.7160825729370117
160,40,0.5,True,-12.0,0.7171382904052734
160,40,0.5,True,-9.0,0.7703304290771484
160,40,0.5,True,22.0,0.9480695724487305
160,40,0.5,True,-15.0,0.7522878646850586
160,40,0.5,True,-6.0,0.7126758098602295
160,40,0.5,True,-12.0,0.7171523571014404
160,40,0.5,True,-34.0,0.6885578632354736
160,40,0.5,True,0.0,0.9474050998687744
160,40,0.5,True,18.0,0.9145958423614502
160,40,0.5,True,5.0,0.8487339019775391
160,40,0.5,True,-9.0,0.7617273330688477
160,40,0.5,True,-1.0,0.8605494499206543
160,40,0.5,True,20.0,0.8298838138580322
160,40,0.5,True,-11.0,0.7443463802337646
160,40,0.5,True,-17.0,0.75942063331604
1280,80,0.5,False,144.0,1.393054723739624
1280,80,0.5,False,135.0,1.5640437602996826
1280,80,0.5,False,-30.0,1.761655330657959
1280,80,0.5,False,-34.0,1.582118272781372
