Amplitude,Width,Visible time,From_left,Run,Time,Dx,Dy
1280,80,0.5,False,3,12,-2159,-121
1280,80,0.5,False,3,13,-1869,-96
1280,80,0.5,False,3,14,-1515,-92
1280,80,0.5,False,3,15,-823,-63
1280,80,0.5,False,3,16,-909,-52
1280,80,0.5,False,3,17,-505,-17
1280,80,0.5,False,3,18,-197,-15
1280,80,0.5,False,3,19,-15,-2
1280,80,0.5,False,4,0,-50,13
1280,80,0.5,False,4,1,-249,109
1280,80,0.5,False,4,2,-807,257
1280,80,0.5,False,4,3,-1412,381
1280,80,0.5,False,4,4,-2209,444
1280,80,0.5,False,4,5,-2582,331
1280,80,0.5,False,4,6,-2609,197
1280,80,0.5,False,4,7,-2859,81
1280,80,0.5,False,4,8,-2680,18
1280,80,0.5,False,4,9,-2667,13
1280,80,0.5,False,4,10,-2496,0
1280,80,0.5,False,4,11,-2127,-18
1280,80,0.5,False,4,12,-1839,-18
1280,80,0.5,False,4,13,-1381,-7
1280,80,0.5,False,4,14,-1159,9
1280,80,0.5,False,4,15,-808,1
1280,80,0.5,False,4,16,-456,-3
1280,80,0.5,False,4,17,-463,-5
1280,80,0.5,False,4,18,-261,-11
1280,80,0.5,False,4,19,-21,-4
1280,80,0.5,False,5,0,-1,0
1280,80,0.5,False,5,1,-213,100
1280,80,0.5,False,5,2,-770,362
1280,80,0.5,False,5,3,-1464,562
1280,80,0.5,False,5,4,-2311,687
1280,80,0.5,False,5,5,-2743,629
1280,80,0.5,False,5,6,-2906,401
1280,80,0.5,False,5,7,-2770,215
1280,80,0.5,False,5,8,-2595,70
1280,80,0.5,False,5,9,-2439,-5
1280,80,0.5,False,5,10,-2322,-21
1280,80,0.5,False,5,11,-2199,-39
1280,80,0.5,False,5,12,-1949,-84
1280,80,0.5,False,5,13,-1761,-102
1280,80,0.5,False,5,14,-1462,-146
1280,80,0.5,False,5,15,-1238,-129
1280,80,0.5,False,5,16,-1054,-119
1280,80,0.5,False,5,17,-978,-92
1280,80,0.5,False,5,18,-545,-51
1280,80,0.5,False,5,19,-653,-60
1280,80,0.5,False,5,20,-468,-48
1280,80,0.5,False,5,21,-345,-42
1280,80,0.5,False,5,22,-414,-37
1280,80,0.5,False,5,23,-289,-29
1280,80,0.5,False,5,24,-135,-13
1280,80,0.5,False,6,0,-1,-1
1280,80,0.5,False,6,1,-1,0
1280,80,0.5,False,6,2,-492,214
1280,80,0.5,False,6,3,-1250,393
1280,80,0.5,False,6,4,-1246,310
1280,80,0.5,False,6,5,-2301,392
1280,80,0.5,False,6,6,-2625,218
1280,80,0.5,False,6,7,-2431,89
1280,80,0.5,False,6,8,-2681,58
1280,80,0.5,False,6,9,-2615,14
1280,80,0.5,False,6,10,-2395,-59
1280,80,0.5,False,6,11,-2227,-119
1280,80,0.5,False,6,12,-2077,-129
1280,80,0.5,False,6,13,-1894,-143
1280,80,0.5,False,6,14,-1683,-124
1280,80,0.5,False,6,15,-1455,-101
1280,80,0.5,False,6,16,-1198,-55
1280,80,0.5,False,6,17,-713,-15
1280,80,0.5,False,6,18,-297,-13
1280,80,0.5,False,6,19,-99,-12
1280,80,0.5,False,6,20,-3,-2
1280,80,0.5,False,7,0,-1,-9
1280,80,0.5,False,7,1,0,0
1280,80,0.5,False,7,2,-1,0
1280,80,0.5,False,7,3,-319,132
1280,80,0.5,False,7,4,-1225,337
1280,80,0.5,False,7,5,-1887,399
1280,80,0.5,False,7,6,-2204,286
1280,80,0.5,False,7,7,-2180,119
1280,80,0.5,False,7,8,-2298,48
1280,80,0.5,False,7,9,-2531,108
1280,80,0.5,False,7,10,-2639,216
1280,80,0.5,False,7,11,-3095,131
1280,80,0.5,False,7,12,-2653,5
1280,80,0.5,False,7,13,-2453,-44
1280,80,0.5,False,7,14,-1896,-56
1280,80,0.5,False,7,15,-1067,-53
1280,80,0.5,False,7,16,-1293,-48
1280,80,0.5,False,7,17,-909,-36
1280,80,0.5,False,7,18,-575,-35
1280,80,0.5,False,7,19,-163,-8
1280,80,0.5,False,8,0,-87,26
1280,80,0.5,False,8,1,-676,156
1280,80,0.5,False,8,2,-1429,266
1280,80,0.5,False,8,3,-2253,312
1280,80,0.5,False,8,4,-2590,158
1280,80,0.5,False,8,5,-2633,16
1280,80,0.5,False,8,6,-2507,-2
1280,80,0.5,False,8,7,-2406,-3
1280,80,0.5,False,8,8,-2411,18
1280,80,0.5,False,8,9,-2528,-10
1280,80,0.5,False,8,10,-2563,-28
1280,80,0.5,False,8,11,-2310,-47
1280,80,0.5,False,8,12,-1949,-35
1280,80,0.5,False,8,13,-1626,13
1280,80,0.5,False,8,14,-1046,1
1280,80,0.5,False,8,15,-791,-28
1280,80,0.5,False,8,16,-453,-42
1280,80,0.5,False,8,17,-105,-13
1280,80,0.5,False,9,0,-47,11
1280,80,0.5,False,9,1,-625,153
1280,80,0.5,False,9,2,-1170,319
1280,80,0.5,False,9,3,-1679,374
1280,80,0.5,False,9,4,-2155,384
1280,80,0.5,False,9,5,-2406,303
1280,80,0.5,False,9,6,-2789,239
1280,80,0.5,False,9,7,-2919,158
1280,80,0.5,False,9,8,-3110,47
1280,80,0.5,False,9,9,-3183,-35
1280,80,0.5,False,9,10,-2902,-203
1280,80,0.5,False,9,11,-2418,-210
1280,80,0.5,False,9,12,-1882,-90
1280,80,0.5,False,9,13,-1258,-20
1280,80,0.5,False,9,14,-839,-15
1280,80,0.5,False,9,15,-360,-52
1280,80,0.5,False,9,16,-82,-16
160,40,0.5,True,0,0,1,1
160,40,0.5,True,0,1,138,8
160,40,0.5,True,0,2,422,13
160,40,0.5,True,0,3,595,21
160,40,0.5,True,0,4,607,9
160,40,0.5,True,0,5,543,10
160,40,0.5,True,0,6,563,6
160,40,0.5,True,0,7,735,0
160,40,0.5,True,0,8,792,12
160,40,0.5,True,0,9,676,33
160,40,0.5,True,0,10,609,8
160,40,0.5,True,0,11,396,3
160,40,0.5,True,0,12,304,3
160,40,0.5,True,0,13,91,2
160,40,0.5,True,0,14,0,1
160,40,0.5,True,1,0,5,-4
160,40,0.5,True,1,1,6,-2
160,40,0.5,True,1,2,5,-3
160,40,0.5,True,1,3,57,-6
160,40,0.5,True,1,4,416,14
160,40,0.5,True,1,5,673,33
160,40,0.5,True,1,6,690,5
160,40,0.5,True,1,7,648,5
160,40,0.5,True,1,8,711,1
160,40,0.5,True,1,9,677,0
160,40,0.5,True,1,10,581,-9
160,40,0.5,True,1,11,378,-3
160,40,0.5,True,1,12,252,1
160,40,0.5,True,1,13,86,-5
160,40,0.5,True,1,14,1,-1
160,40,0.5,True,2,0,1,0
160,40,0.5,True,2,1,16,0
160,40,0.5,True,2,2,144,-5
160,40,0.5,True,2,3,536,9
160,40,0.5,True,2,4,499,12
160,40,0.5,True,2,5,302,20
160,40,0.5,True,2,6,362,33
160,40,0.5,True,2,7,641,25
160,40,0.5,True,2,8,777,10
160,40,0.5,True,2,9,601,33
160,40,0.5,True,2,10,411,34
160,40,0.5,True,2,11,282,19
160,40,0.5,True,2,12,65,6
160,40,0.5,True,3,0,1,0
160,40,0.5,True,3,1,12,-2
160,40,0.5,True,3,2,143,-5
160,40,0.5,True,3,3,420,13
160,40,0.5,True,3,4,544,13
160,40,0.5,True,3,5,459,3
160,40,0.5,True,3,6,599,23
160,40,0.5,True,3,7,746,56
160,40,0.5,True,3,8,441,31
160,40,0.5,True,3,9,178,13
160,40,0.5,True,3,10,55,4
160,40,0.5,True,3,11,0,0
160,40,0.5,True,4,0,-3,0
160,40,0.5,True,4,1,6,-2
160,40,0.5,True,4,2,26,-6
160,40,0.5,True,4,3,231,5
160,40,0.5,True,4,4,411,16
160,40,0.5,True,4,5,535,23
160,40,0.5,True,4,6,524,23
160,40,0.5,True,4,7,625,11
160,40,0.5,True,4,8,530,3
160,40,0.5,True,4,9,451,10
160,40,0.5,True,4,10,486,14
160,40,0.5,True,4,11,634,0
160,40,0.5,True,4,12,572,1
160,40,0.5,True,4,13,292,14
160,40,0.5,True,4,14,28,5
160,40,0.5,True,5,0,0,0
160,40,0.5,True,5,1,-1,-1
160,40,0.5,True,5,2,0,0
160,40,0.5,True,5,3,73,-5
160,40,0.5,True,5,4,583,-1
160,40,0.5,True,5,5,524,2
160,40,0.5,True,5,6,360,-9
160,40,0.5,True,5,7,307,-4
160,40,0.5,True,5,8,270,-4
160,40,0.5,True,5,9,20,-5
160,40,0.5,True,5,10,53,3
160,40,0.5,True,5,11,5,2
160,40,0.5,True,6,0,1,0
160,40,0.5,True,6,1,-2,2
160,40,0.5,True,6,2,-1,2
160,40,0.5,True,6,3,9,12
160,40,0.5,True,6,4,103,26
160,40,0.5,True,6,5,476,24
160,40,0.5,True,6,6,576,-13
160,40,0.5,True,6,7,352,-1
160,40,0.5,True,6,8,33,2
160,40,0.5,True,6,9,61,0
160,40,0.5,True,6,10,177,3
160,40,0.5,True,6,11,216,5
160,40,0.5,True,7,0,1,-1
160,40,0.5,True,7,1,1,0
160,40,0.5,True,7,2,28,2
160,40,0.5,True,7,3,121,27
160,40,0.5,True,7,4,265,65
160,40,0.5,True,7,5,180,97
160,40,0.5,True,7,6,263,104
160,40,0.5,True,7,7,548,78
160,40,0.5,True,7,8,736,12
160,40,0.5,True,7,9,646,3
160,40,0.5,True,7,10,368,-10
160,40,0.5,True,7,11,64,-8
160,40,0.5,True,7,12,0,0
160,40,0.5,True,8,0,0,0
160,40,0.5,True,8,1,0,0
160,40,0.5,True,8,2,0,0
160,40,0.5,True,8,3,57,6
160,40,0.5,True,8,4,309,11
160,40,0.5,True,8,5,647,0
160,40,0.5,True,8,6,733,-18
160,40,0.5,True,8,7,793,-4
160,40,0.5,True,8,8,745,5
160,40,0.5,True,8,9,678,-1
160,40,0.5,True,8,10,526,0
160,40,0.5,True,8,11,243,1
160,40,0.5,True,8,12,20,0
160,40,0.5,True,9,0,-4,3
160,40,0.5,True,9,1,0,0
160,40,0.5,True,9,2,0,0
160,40,0.5,True,9,3,7,-1
160,40,0.5,True,9,4,131,-34
160,40,0.5,True,9,5,478,-37
160,40,0.5,True,9,6,542,-37
160,40,0.5,True,9,7,573,-16
160,40,0.5,True,9,8,569,10
160,40,0.5,True,9,9,582,14
160,40,0.5,True,9,10,581,-2
160,40,0.5,True,9,11,557,-32
160,40,0.5,True,9,12,279,-5
160,40,0.5,True,9,13,22,4
1280,40,0.5,True,0,0,2,-1
1280,40,0.5,True,0,1,280,16
1280,40,0.5,True,0,2,839,7
1280,40,0.5,True,0,3,1390,11
1280,40,0.5,True,0,4,1996,95
1280,40,0.5,True,0,5,2350,235
1280,40,0.5,True,0,6,2587,250
1280,40,0.5,True,0,7,2882,180
1280,40,0.5,True,0,8,2930,72
1280,40,0.5,True,0,9,3171,9
1280,40,0.5,True,0,10,3106,-96
1280,40,0.5,True,0,11,3013,-105
1280,40,0.5,True,0,12,2442,-134
1280,40,0.5,True,0,13,2008,-68
1280,40,0.5,True,0,14,1048,-80
1280,40,0.5,True,0,15,447,-41
1280,40,0.5,True,1,0,0,0
1280,40,0.5,True,1,1,5,0
1280,40,0.5,True,1,2,26,-3
1280,40,0.5,True,1,3,314,-2
1280,40,0.5,True,1,4,721,79
1280,40,0.5,True,1,5,1473,184
1280,40,0.5,True,1,6,2037,243
1280,40,0.5,True,1,7,2534,260
1280,40,0.5,True,1,8,2826,128
1280,40,0.5,True,1,9,3034,44
1280,40,0.5,True,1,10,2849,-11
1280,40,0.5,True,1,11,2598,6
1280,40,0.5,True,1,12,2305,20
1280,40,0.5,True,1,13,2479,84
1280,40,0.5,True,1,14,2126,19
1280,40,0.5,True,1,15,1858,35
1280,40,0.5,True,1,16,779,13
1280,40,0.5,True,1,17,557,19
1280,40,0.5,True,2,0,28,9
1280,40,0.5,True,2,1,40,23
1280,40,0.5,True,2,2,74,10
1280,40,0.5,True,2,3,409,5
1280,40,0.5,True,2,4,1075,20
1280,40,0.5,True,2,5,1742,50
1280,40,0.5,True,2,6,2165,82
1280,40,0.5,True,2,7,2492,73
1280,40,0.5,True,2,8,2734,30
1280,40,0.5,True,2,9,2744,11
1280,40,0.5,True,2,10,2599,-25
1280,40,0.5,True,2,11,2258,-74
1280,40,0.5,True,2,12,1890,-109
1280,40,0.5,True,2,13,1564,-116
1280,40,0.5,True,2,14,1593,-104
1280,40,0.5,True,2,15,982,-50
1280,40,0.5,True,2,16,1376,-63
1280,40,0.5,True,2,17,1208,-79
1280,40,0.5,True,2,18,916,-78
1280,40,0.5,True,2,19,286,-42
1280,40,0.5,True,2,20,-18,-7
1280,40,0.5,True,3,0,33,-12
1280,40,0.5,True,3,1,66,6
1280,40,0.5,True,3,2,277,23
1280,40,0.5,True,3,3,477,75
1280,40,0.5,True,3,4,1045,141
1280,40,0.5,True,3,5,1461,102
1280,40,0.5,True,3,6,1848,159
1280,40,0.5,True,3,7,2100,162
1280,40,0.5,True,3,8,2308,143
1280,40,0.5,True,3,9,2439,131
1280,40,0.5,True,3,10,2307,61
1280,40,0.5,True,3,11,2196,87
1280,40,0.5,True,3,12,1986,38
1280,40,0.5,True,3,13,1958,33
1280,40,0.5,True,3,14,2096,60
1280,40,0.5,True,3,15,1840,50
1280,40,0.5,True,3,16,1335,33
1280,40,0.5,True,3,17,659,5
1280,40,0.5,True,3,18,394,2
1280,40,0.5,True,3,19,122,-14
1280,40,0.5,True,3,20,4,-1
1280,40,0.5,True,4,0,0,0
1280,40,0.5,True,4,1,0,0
1280,40,0.5,True,4,2,0,0
1280,40,0.5,True,4,3,93,0
1280,40,0.5,True,4,4,465,25
1280,40,0.5,True,4,5,828,64
1280,40,0.5,True,4,6,924,90
1280,40,0.5,True,4,7,1303,124
1280,40,0.5,True,4,8,1745,197
1280,40,0.5,True,4,9,2288,286
1280,40,0.5,True,4,10,2558,286
1280,40,0.5,True,4,11,2520,258
1280,40,0.5,True,4,12,2509,274
1280,40,0.5,True,4,13,2255,207
1280,40,0.5,True,4,14,2282,206
1280,40,0.5,True,4,15,2042,80
1280,40,0.5,True,4,16,1271,35
1280,40,0.5,True,4,17,1695,12
1280,40,0.5,True,4,18,1424,-12
1280,40,0.5,True,4,19,1120,-119
1280,40,0.5,True,4,20,911,-168
1280,40,0.5,True,4,21,719,-109
1280,40,0.5,True,4,22,606,-66
1280,40,0.5,True,4,23,592,-54
1280,40,0.5,True,4,24,437,-52
1280,40,0.5,True,4,25,204,-35
1280,40,0.5,True,4,26,2,0
1280,40,0.5,True,5,0,0,0
1280,40,0.5,True,5,1,19,9
1280,40,0.5,True,5,2,179,31
1280,40,0.5,True,5,3,538,78
1280,40,0.5,True,5,4,964,142
1280,40,0.5,True,5,5,1408,154
1280,40,0.5,True,5,6,1782,137
1280,40,0.5,True,5,7,1950,131
1280,40,0.5,True,5,8,2257,174
1280,40,0.5,True,5,9,2507,172
1280,40,0.5,True,5,10,2756,206
1280,40,0.5,True,5,11,2749,201
1280,40,0.5,True,5,12,2547,214
1280,40,0.5,True,5,13,2433,116
1280,40,0.5,True,5,14,2054,79
1280,40,0.5,True,5,15,1796,5
1280,40,0.5,True,5,16,1074,-43
1280,40,0.5,True,5,17,1515,-122
1280,40,0.5,True,5,18,1316,-195
1280,40,0.5,True,5,19,840,-123
1280,40,0.5,True,5,20,186,-19
1280,40,0.5,True,6,0,0,0
1280,40,0.5,True,6,1,15,17
1280,40,0.5,True,6,2,135,69
1280,40,0.5,True,6,3,565,172
1280,40,0.5,True,6,4,979,355
1280,40,0.5,True,6,5,1247,500
1280,40,0.5,True,6,6,1537,523
1280,40,0.5,True,6,7,2003,370
1280,40,0.5,True,6,8,2408,211
1280,40,0.5,True,6,9,2916,86
1280,40,0.5,True,6,10,3070,7
1280,40,0.5,True,6,11,2980,42
1280,40,0.5,True,6,12,2456,79
1280,40,0.5,True,6,13,2230,45
1280,40,0.5,True,6,14,2152,-75
1280,40,0.5,True,6,15,1924,-197
1280,40,0.5,True,6,16,1267,-143
1280,40,0.5,True,6,17,1594,-211
1280,40,0.5,True,6,18,1252,-168
1280,40,0.5,True,6,19,902,-114
1280,40,0.5,True,6,20,395,-69
1280,40,0.5,True,6,21,90,-32
1280,40,0.5,True,6,22,13,-6
1280,40,0.5,True,7,0,0,0
1280,40,0.5,True,7,1,22,11
1280,40,0.5,True,7,2,173,58
1280,40,0.5,True,7,3,571,146
1280,40,0.5,True,7,4,1046,211
1280,40,0.5,True,7,5,1439,304
1280,40,0.5,True,7,6,1576,399
1280,40,0.5,True,7,7,2154,547
1280,40,0.5,True,7,8,2606,520
1280,40,0.5,True,7,9,2964,320
1280,40,0.5,True,7,10,3022,96
1280,40,0.5,True,7,11,2623,30
1280,40,0.5,True,7,12,2230,191
1280,40,0.5,True,7,13,2016,229
1280,40,0.5,True,7,14,1866,117
1280,40,0.5,True,7,15,1557,-5
1280,40,0.5,True,7,16,1117,-60
1280,40,0.5,True,7,17,834,-103
1280,40,0.5,True,7,18,423,-77
1280,40,0.5,True,7,19,212,-47
1280,40,0.5,True,7,20,17,-7
1280,40,0.5,True,8,0,0,0
1280,40,0.5,True,8,1,0,0
1280,40,0.5,True,8,2,8,-2
1280,40,0.5,True,8,3,139,-14
1280,40,0.5,True,8,4,621,-53
1280,40,0.5,True,8,5,1120,-27
1280,40,0.5,True,8,6,1563,-25
1280,40,0.5,True,8,7,1909,-86
1280,40,0.5,True,8,8,1959,-168
1280,40,0.5,True,8,9,2117,-132
1280,40,0.5,True,8,10,2101,-135
1280,40,0.5,True,8,11,2369,-179
1280,40,0.5,True,8,12,2420,-230
1280,40,0.5,True,8,13,2319,-275
1280,40,0.5,True,8,14,2044,-258
1280,40,0.5,True,8,15,1841,-234
1280,40,0.5,True,8,16,1640,-172
1280,40,0.5,True,8,17,1003,-96
1280,40,0.5,True,8,18,1140,-65
1280,40,0.5,True,8,19,1086,-56
1280,40,0.5,True,8,20,804,-73
1280,40,0.5,True,8,21,802,-52
1280,40,0.5,True,8,22,997,-15
1280,40,0.5,True,8,23,807,-13
1280,40,0.5,True,8,24,140,-3
1280,40,0.5,True,9,0,-32,0
1280,40,0.5,True,9,1,0,0
1280,40,0.5,True,9,2,0,0
1280,40,0.5,True,9,3,0,0
1280,40,0.5,True,9,4,109,21
1280,40,0.5,True,9,5,634,63
1280,40,0.5,True,9,6,1270,49
1280,40,0.5,True,9,7,1695,47
1280,40,0.5,True,9,8,2174,19
1280,40,0.5,True,9,9,2559,50
1280,40,0.5,True,9,10,2708,76
1280,40,0.5,True,9,11,2775,80
1280,40,0.5,True,9,12,2921,59
1280,40,0.5,True,9,13,2578,-60
1280,40,0.5,True,9,14,2536,-15
1280,40,0.5,True,9,15,2343,32
1280,40,0.5,True,9,16,2050,40
1280,40,0.5,True,9,17,1351,57
1280,40,0.5,True,9,18,1796,43
1280,40,0.5,True,9,19,1569,0
1280,40,0.5,True,9,20,1252,-5
1280,40,0.5,True,9,21,530,-2
